"Name","Species","Colony","Nesting","sum_move_sec","sum_pause_sec","mean_move_sec","mean_pause_sec","sum_steps_move","sum_steps_pause","sum_steps_move_norm","sum_steps_pause_norm","mean_speed_move","mean_speed_move_norm","Traveled.dis","Traveled.dis.bl","mean_speed","mean_speed_norm"
"cf3_2","Cop_formosanus","cf3","CP",3331.8,257.6,6.14723247232472,0.476155268022181,40035.8951619518,369.974092359447,7879.14753544586,72.8116717810548,12.0162960447661,2.36483208339212,40405.8692543112,7951.95920722692,12.1273393523955,2.38668563756135
"cf3_3","Cop_formosanus","cf3","CP",3480,115.2,12.4285714285714,0.412903225806452,52351.7412209479,179.303830566439,11030.6202882319,37.7796884129702,15.043603799123,3.16971847362985,52531.0450515144,11068.3999766449,15.0951278883662,3.18057470593243
"cf3_6","Cop_formosanus","cf3","CP",3469.6,124.6,11.0849840255591,0.399358974358974,48115.9762741813,213.659554373847,10583.7198678356,46.9971316324053,13.8678741855491,3.05041499534114,48329.6358285551,10630.716999468,13.9294546427701,3.06396039873992
"cf3_7","Cop_formosanus","cf3","CP",3331.4,261.8,7.05805084745763,0.55583864118896,41140.5582925844,382.890261037824,8296.48192350852,77.2143660957649,12.3493300992329,2.49038900267411,41523.4485536222,8373.69628960429,12.4642638391133,2.51356675559953
"cf3_8","Cop_formosanus","cf3","CP",2700,825.6,3.31695331695332,1.01425061425061,23607.6293333544,1028.0670703075,5066.53139092878,220.637744270827,8.74356641976091,1.8764931077514,24635.6964036619,5287.16913519961,9.12433200135628,1.95821079081467
"cfa_10","Cop_formosanus","cfa","CP",3427,165.2,8.338199513382,0.402926829268293,39387.2254638606,284.433139343773,8643.31715139455,62.4173397024565,11.4932084808464,2.5221234757498,39671.6586032044,8705.73449109701,11.5762061871037,2.54033688097374
"cfa_3","Cop_formosanus","cfa","CP",3422,162.4,8.14761904761905,0.387589498806683,34680.0775786732,281.185677000849,7736.57707770837,62.7280794954873,10.134446983832,2.26083491458456,34961.263255674,7799.30515720385,10.216616965422,2.27916573851661
"cfa_4","Cop_formosanus","cfa","CP",3281.6,288,5.20063391442155,0.456418383518225,31792.9673194619,480.023325093388,6471.72792927868,97.7128158091247,9.68825186477994,1.97212577074557,32272.9906445552,6569.4407450878,9.83452908476208,2.00190173850798
"cfa_5","Cop_formosanus","cfa","CP",3498.8,98.6,14.8885106382979,0.421367521367521,46863.6102645175,146.315942302453,9420.97547004741,29.4138436097392,13.3941952282261,2.69263046474432,47009.9262068199,9450.38931365715,13.4360141210758,2.70103730240573
"cfa_7","Cop_formosanus","cfa","CP",3002.8,542.6,3.63095525997582,0.656106408706167,23489.8853740939,895.669252910531,5180.75032754259,197.541993138187,7.82266064143262,1.72530648979039,24385.5546270044,5378.29232068077,8.12093866624631,1.79109242063433
"cfb_2","Cop_formosanus","cfb","CP",3415.8,182.6,7.23686440677966,0.387685774946921,34706.4136788321,325.274366734747,7059.45602912652,66.1624133975685,10.1605520460308,2.06670649017112,35031.6880455669,7125.61844252409,10.2557784547008,2.08607601221503
"cfb_3","Cop_formosanus","cfb","CP",3402.8,196.6,9.61242937853107,0.555367231638418,51179.1148697513,267.971358361902,9889.07990228662,51.7787417994479,15.0402947189818,2.90615960452763,51447.0862281132,9940.85864408607,15.1190449712334,2.92137611498944
"cfb_4","Cop_formosanus","cfb","CP",3491,108.4,12.5575539568345,0.391335740072202,45792.539133304,186.349023767564,9360.35984175026,38.091225156691,13.1173128425391,2.68128325458329,45978.8881570715,9398.45106690695,13.1706926832058,2.69219451930878
"cfb_5","Cop_formosanus","cfb","CP",3460.4,138.2,9.72022471910112,0.389295774647887,38477.7366977216,239.395601742313,7884.89871789771,49.0572012610109,11.1194476643514,2.27860903880988,38717.1322994639,7933.95591915872,11.1886291467645,2.29278578174741
"cfb_7","Cop_formosanus","cfb","CP",3470.8,112.2,11.5693333333333,0.375250836120401,41954.7450079972,183.575735402096,8641.23411777212,37.8102860033906,12.0879177734232,2.48969520507437,42138.3207433993,8679.04440377551,12.1408092495676,2.50058902955385
"cfc_3","Cop_formosanus","cfc","CP",3392.4,192.4,7.58926174496644,0.431390134529148,40713.4435805847,295.170326034383,8229.35402743533,59.6623841587503,12.0013688187079,2.42582066602857,41008.6139066191,8289.01641159408,12.0883781118439,2.44340773835458
"cfc_4","Cop_formosanus","cfc","CP",3146.8,440.8,5.3335593220339,0.748387096774194,31359.2529007576,583.178668295409,6282.69077244907,116.837325480423,9.96544200481683,1.99653323136172,31942.431569053,6399.52809792949,10.1507663559975,2.03366216408081
"cfc_5","Cop_formosanus","cfc","CP",3308.6,286.8,7.7303738317757,0.670093457943925,39121.4435015128,361.07881643595,8272.38965753844,76.3515964467281,11.8241683798322,2.50026889244346,39482.5223179487,8348.74125398516,11.9333017947013,2.52334560055164
"cfc_7","Cop_formosanus","cfc","CP",3347.2,228.2,6.09690346083789,0.416423357664234,33631.779230144,375.748162404211,6750.98612389451,75.4248121430366,10.0477351906501,2.01690551024573,34007.5273925482,6826.41093603755,10.1599926483473,2.03943921368234
"cfc_8","Cop_formosanus","cfc","CP",3501.2,87.6,13.4145593869732,0.336923076923077,49854.5510050636,147.894927393201,10307.204059668,30.5766106664299,14.2392753927407,2.94390610638294,50002.4459324568,10337.7806703344,14.2815166035807,2.95263928662584
"cfd_1","Cop_formosanus","cfd","CP",3383,202,6.31156716417911,0.377570093457944,40755.3415747526,350.983485053404,8655.49261761699,74.5407803345999,12.0471006724069,2.55852575158646,41106.325059806,8730.03339795159,12.1508498551008,2.58055968015122
"cfd_2","Cop_formosanus","cfd","CP",3447.4,139.8,8.5120987654321,0.346039603960396,46748.7880851187,254.716593112324,10859.8938258193,59.1714838005565,13.56059293529,3.15016935250313,47003.504678231,10919.0653096198,13.6344795144837,3.16733344248414
