"Species","Nesting","Name","Colony","mean_speed_all","sd_speed_all","mean_speed_norm_all","sd_speed_norm_all"
"Cop_formosanus","CP","cf3_2","cf3",11.2563709756829,4.72592297703262,2.21527724738882,0.930071482767321
"Cop_formosanus","CP","cf3_3","cf3",14.6106260920939,5.02124084162565,3.07848917412384,1.05798584360307
"Cop_formosanus","CP","cf3_6","cf3",13.4458145527919,4.73154247832762,2.95757762059537,1.04076284035112
"Cop_formosanus","CP","cf3_7","cf3",11.5554763047872,4.73044988484469,2.33029896187574,0.953951370337895
"Cop_formosanus","CP","cf3_8","cf3",6.9872642814856,4.23840064636399,1.49956581065279,0.909620767884393
"Cop_formosanus","CP","cfa_10","cfa",11.0432186291071,3.95649372581752,2.42337559600741,0.868231505951616
"Cop_formosanus","CP","cfa_3","cfa",9.75318396911064,3.45457314763951,2.17578116308761,0.770660658606209
"Cop_formosanus","CP","cfa_4","cfa",9.04055987577882,3.89244196096627,1.84028257747992,0.792339547886784
"Cop_formosanus","CP","cfa_5","cfa",13.0670241846842,3.81524161467723,2.62685938227072,0.766976710955462
"Cop_formosanus","CP","cfa_7","cfa",6.87769478424086,3.27557297295445,1.51689201282738,0.722435443266953
"Cop_formosanus","CP","cfb_2","cfb",9.7348102166306,3.40008511478369,1.98010849845053,0.691594112408757
"Cop_formosanus","CP","cfb_3","cfb",14.2924453350687,5.62688573400142,2.76165647407658,1.08725449367755
"Cop_formosanus","CP","cfb_4","cfb",12.7733326361461,3.93716082529307,2.61097095980302,0.804787041231853
"Cop_formosanus","CP","cfb_5","cfb",10.7583450871023,3.41387515171111,2.20461151471566,0.699574926099635
"Cop_formosanus","CP","cfb_7","cfb",11.759968950491,3.76024966669085,2.42214902985474,0.774482068832893
"Cop_formosanus","CP","cfc_3","cfc",11.4389439070067,4.35315254821985,2.3121384690639,0.879896916207228
"Cop_formosanus","CP","cfc_4","cfc",8.90306917025837,4.1514687406605,1.78369142592382,0.831728818017485
"Cop_formosanus","CP","cfc_5","cfc",10.9807882739873,4.40885111160948,2.32193271053097,0.932269647358355
"Cop_formosanus","CP","cfc_7","cfc",9.51099882328789,3.55586578177436,1.90916515718692,0.713777299348882
"Cop_formosanus","CP","cfc_8","cfc",13.9321387384945,4.40923661858282,2.88040698532583,0.911589827987369
"Cop_formosanus","CP","cfd_1","cfd",11.4655598180871,4.86405800656222,2.43501991463561,1.03301350303345
"Cop_formosanus","CP","cfd_2","cfd",13.1023874333029,5.39564425626444,3.0437267407091,1.25342551422367
"Cop_formosanus","CP","cfd_3","cfd",14.4193913468565,4.41475953448758,2.85927449574143,0.875419013060042
"Cop_formosanus","CP","cfd_4","cfd",13.7321080030852,5.60395985509688,2.75699037441178,1.12510500031175
"Cop_formosanus","CP","cfd_5","cfd",15.3971667488155,4.97222202611813,3.12103843884102,1.00787997708478
"Hod_sjostedti","MP","hs1_1","hs1",19.2405729170098,6.13766152088537,1.53269271941708,0.488922505992061
"Hod_sjostedti","MP","hs1_2","hs1",12.1505697272167,7.56067357610017,0.855410057716398,0.532277610458041
"Hod_sjostedti","MP","hs1_3","hs1",28.4226659300249,5.51651956647114,2.23099284077833,0.433010601085437
"Hod_sjostedti","MP","hs1_4","hs1",21.1820501060817,5.52867617990294,1.83681098858013,0.479421638070399
"Hod_sjostedti","MP","hs1_5","hs1",22.5161098547753,5.42877945194672,1.84367275500211,0.444521404142409
"Hod_sjostedti","MP","hs2_1","hs2",20.8233138707385,3.81607354065942,1.68223998923076,0.308286738210463
"Hod_sjostedti","MP","hs2_2","hs2",16.1586578626045,2.95098522349552,1.42889399605878,0.260952679620094
"Hod_sjostedti","MP","hs2_3","hs2",20.8473831628185,5.63258296807393,1.48369127507766,0.400866340903021
"Hod_sjostedti","MP","hs2_4","hs2",16.7819282614623,4.89460995753527,1.2587561559139,0.367128277445524
"Hod_sjostedti","MP","hs2_5","hs2",18.7792804225739,4.05399730770522,1.56161688364378,0.337115720065018
"Hod_sjostedti","MP","hs3_2","hs3",21.8098869281928,4.34182788074023,1.59792826816937,0.318109375303195
"Hod_sjostedti","MP","hs3_3","hs3",23.3532772718543,3.87859648830025,1.79072945845345,0.297410804839121
"Hod_sjostedti","MP","hs3_4","hs3",20.1731854403468,6.06343128625247,1.38250354568487,0.415537510278124
"Hod_sjostedti","MP","hs3_5","hs3",8.48044417112159,7.7168536602772,0.643605304634423,0.585654224074105
"Hod_sjostedti","MP","hs3_7","hs3",22.9787576940803,2.65601096901833,1.76313981272235,0.203793379296126
"Hod_sjostedti","MP","hs4_2","hs4",20.0397846818971,2.56193098421026,2.01629407385284,0.257767553049084
"Hod_sjostedti","MP","hs4_3","hs4",17.0630730700425,5.12057376596257,1.53263964935016,0.459940266851178
"Hod_sjostedti","MP","hs4_4","hs4",8.66357352708274,5.64322321275133,0.758783026351955,0.494251243365729
"Hod_sjostedti","MP","hs4_5","hs4",20.0449817570705,4.66232854459787,1.8879207568819,0.439117727390524
"Hod_sjostedti","MP","hs4_7","hs4",20.7885475065201,3.12118405386256,2.00858984001012,0.301568860326758
"Hod_sjostedti","MP","hs5_2","hs5",20.7093119977379,9.37120279816318,1.73912070389441,0.786972199195176
"Hod_sjostedti","MP","hs5_3","hs5",20.904689391503,8.94841066562738,1.5456849968743,0.661642172849131
"Hod_sjostedti","MP","hs5_4","hs5",25.6326432892397,8.24805537734356,1.91845365521292,0.617318776238183
"Hod_sjostedti","MP","hs5_5","hs5",28.3296429792282,6.08851321977269,1.98331595006857,0.426247707739645
