position,x0,y0
0,940.1630769230769,403.64153846153846
1,937.7850609756098,400.2439024390244
2,935.9318181818181,398.46666666666664
3,935.1598173515981,397.8325722983257
4,933.9561933534743,394.14954682779455
5,933.5443425076453,390.63761467889907
6,933.4498525073747,388.18436578171094
7,932.2338830584707,383.9670164917541
8,931.1010248901904,381.06295754026354
9,931.1475903614459,378.9397590361446
10,930.3904320987654,376.0895061728395
11,929.9343511450381,373.3328244274809
12,929.6839694656488,372.12519083969465
13,929.016641452345,371.20574886535553
14,925.8497723823976,367.78300455235205
15,923.4549483013294,365.50073855243727
16,922.8263473053893,364.37125748502996
17,921.7432024169184,363.6419939577039
18,920.1059907834101,361.57603686635946
19,918.1746268656716,360.4492537313433
20,916.6900763358778,359.64885496183206
21,914.7055118110236,358.2645669291339
22,913.3176100628931,356.92610062893084
23,912.3267175572519,355.61984732824425
24,911.3272727272728,354.50454545454545
25,910.0410334346504,350.7887537993921
26,908.3323262839879,347.5528700906344
27,907.9785932721712,346.52446483180427
28,906.4668721109399,343.1201848998459
29,904.502262443439,339.8748114630468
30,904.3729323308271,338.00150375939853
31,903.3038922155689,334.435628742515
32,902.2168674698796,330.3629518072289
33,902.1774436090226,328.8
34,902.2188449848024,326.2841945288754
35,901.8239757207891,323.309559939302
36,901.3060606060606,321.25757575757575
37,901.5204236006051,320.06505295007565
38,901.7164404223228,318.9577677224736
39,901.469696969697,317.73030303030305
40,901.1048632218844,315.49088145896656
41,900.6012084592145,313.77794561933536
42,899.7678300455235,312.15933232169954
43,898.7760968229954,311.29349470499244
44,897.0782208588957,310.5276073619632
45,895.3945371775418,309.57814871016694
46,894.5523076923076,309.6984615384615
47,893.5540334855402,309.92389649923894
48,892.1507692307692,309.3630769230769
49,890.371835443038,308.0981012658228
50,889.5,307.51797385620915
51,888.7765089722676,307.2088091353997
52,885.8752025931929,306.1150729335494
53,883.3580441640378,304.72870662460565
54,882.2158385093167,302.89906832298135
55,880.5659509202454,301.80674846625766
56,878.7111801242236,299.4006211180124
57,876.9893455098934,295.79756468797564
58,876.1153262518968,293.92564491654025
59,874.2977099236641,290.6
60,872.4992295839754,287.1371340523883
61,871.5635528330781,285.61408882082696
62,869.6559139784946,282.00307219662056
63,867.9391171993911,278.5920852359208
64,867.8947368421053,277.7507739938081
65,866.7354838709678,276.9241935483871
66,863.4704,274.5488
67,860.0428790199081,272.83614088820826
68,858.8034055727554,271.6965944272446
69,856.1010886469674,269.5583203732504
70,853.1068580542264,267.6937799043062
71,852.0417335473516,267.792937399679
72,849.1539708265802,267.14910858995137
73,845.2813008130081,266.41951219512197
74,842.4596651445966,265.7595129375951
75,840.7054140127389,264.5270700636943
76,836.0914634146342,261.3856707317073
77,835.3410852713179,260.7720930232558
78,833.5268138801262,259.96056782334387
79,829.9018691588785,258.35046728971963
80,827.2289512555392,256.9394387001477
81,826.8897280966768,255.99093655589124
82,823.6908809891809,252.35085007727974
83,821.2046153846154,250.1246153846154
84,820.6147919876734,248.55007704160246
85,818.8060413354532,246.36406995230527
86,814.5285935085008,244.19938176197834
87,812.6308411214953,243.6214953271028
88,810.2433697347894,241.8408736349454
89,806.584496124031,239.4139534883721
90,805.109350237718,238.12519809825673
91,804.7285714285714,237.12539682539682
92,801.679810725552,234.47160883280756
93,798.4195046439629,233.07739938080496
