position,x0,y0
0,261.15294117647056,740.0235294117647
1,260.05494505494505,739.8571428571429
2,258.0879120879121,739.2747252747254
3,256.9677419354839,737.5913978494624
4,255.11111111111111,736.7888888888889
5,254.54347826086956,736.2065217391304
6,253.2150537634409,734.9354838709678
7,251.32608695652172,733.0869565217391
8,250.06593406593407,731.9120879120879
9,247.80434782608694,728.3695652173913
10,246.81632653061223,727.0510204081633
11,245.00000000000003,725.2795698924732
12,243.6063829787234,723.1702127659574
13,242.14772727272728,721.5909090909091
14,240.52222222222224,719.0555555555555
15,239.83908045977012,717.6436781609195
16,237.16483516483518,713.4175824175825
17,237.05882352941177,712.4470588235293
18,236.52222222222224,710.3666666666667
19,236.1123595505618,707.561797752809
20,235.45161290322582,706.1720430107528
21,234.19277108433735,703.843373493976
22,233.84337349397592,701.6506024096386
23,232.96341463414635,698.4756097560976
24,232.22727272727272,695.3636363636364
25,231.32530120481928,693.3734939759037
26,230.12790697674419,689.2790697674418
27,229.56976744186045,687.7325581395348
28,228.90804597701148,683.8965517241379
29,228.3793103448276,682.183908045977
30,227.1046511627907,679.8023255813954
31,225.82558139534882,676.7790697674418
32,225.0681818181818,675.4886363636364
33,224.1494252873563,672.9310344827586
34,223.45652173913044,670.4239130434783
35,222.17241379310346,669.2758620689655
36,221.0,666.0
37,220.24137931034483,664.4367816091954
38,220.42528735632183,663.0804597701149
39,220.3132530120482,662.6867469879519
40,219.55555555555554,661.753086419753
41,219.66250000000002,660.9625000000001
42,219.9268292682927,660.3780487804878
43,219.29113924050634,657.0886075949367
44,219.1686746987952,654.3975903614459
45,218.88888888888889,651.753086419753
46,218.80722891566265,649.3855421686748
47,218.7951807228916,647.8915662650603
48,218.09756097560975,644.7439024390244
49,218.52439024390245,644.2073170731708
50,218.6235294117647,642.9176470588235
51,219.04819277108436,642.2409638554217
52,219.43209876543207,642.469135802469
53,219.4698795180723,641.6144578313254
54,219.30232558139534,640.4767441860465
55,218.59302325581396,639.8372093023256
56,218.09876543209876,638.8641975308642
57,218.0120481927711,638.289156626506
58,217.7951807228916,638.0602409638554
59,217.4691358024691,637.5925925925926
60,216.7831325301205,637.0963855421687
61,216.54216867469881,637.0722891566265
62,216.32911392405063,637.1645569620254
63,216.425,637.4000000000001
64,216.13095238095238,637.0714285714286
65,216.3125,637.1
66,216.33333333333331,636.974358974359
67,216.3658536585366,636.7317073170732
68,216.3827160493827,636.8148148148148
69,216.19277108433735,636.7590361445783
70,216.3658536585366,636.7317073170732
71,216.2380952380952,636.5357142857142
72,216.2235294117647,636.1764705882352
73,216.22891566265062,636.132530120482
74,216.62790697674419,634.5232558139535
75,217.86904761904762,634.1904761904761
76,218.89411764705883,633.6705882352941
77,219.91860465116278,632.5581395348837
78,220.4891304347826,632.0543478260869
79,221.36470588235295,630.6941176470588
80,222.0705882352941,629.4117647058823
81,222.93975903614458,628.6265060240964
82,223.7831325301205,629.0843373493976
83,225.58620689655172,627.3333333333334
84,226.679012345679,626.6049382716049
85,228.61728395061726,625.753086419753
86,230.76190476190476,625.0833333333333
87,232.2906976744186,624.5930232558139
88,234.63414634146343,624.2439024390244
89,236.2142857142857,624.25
90,238.57831325301206,624.1686746987953
91,240.60000000000002,623.8125
92,242.34567901234567,623.1975308641975
93,244.02597402597405,622.5584415584416
94,247.04761904761904,621.3333333333333
95,247.13253012048193,621.1445783132531
96,248.22500000000002,620.8000000000001
97,248.81333333333336,620.2533333333333
98,249.85185185185185,619.8888888888888
99,251.58333333333331,619.3690476190476
100,252.9047619047619,618.3690476190476
101,253.93827160493825,617.6049382716049
102,254.81012658227849,616.873417721519
103,254.55128205128204,617.0128205128204
104,255.53571428571428,616.2857142857142
105,255.4880952380952,616.3452380952381
106,255.64634146341464,616.2560975609756
107,255.375,616.4875000000001
108,255.54761904761904,616.4642857142857
109,255.59493670886076,616.5569620253165
110,255.02531645569618,616.7974683544304
111,254.25609756097563,617.0
112,253.80246913580245,616.679012345679
113,253.89024390243904,615.9634146341464
114,253.19512195121953,615.6585365853658
115,253.1125,614.975
116,252.8,614.475
117,252.60714285714283,613.7142857142857
118,252.3690476190476,612.2738095238095
119,251.91860465116278,611.3023255813954
120,251.52222222222224,610.9777777777778
121,250.81927710843374,610.3975903614459
122,250.2906976744186,609.0581395348837
123,249.88235294117646,608.364705882353
124,248.5632183908046,606.3908045977012
125,247.8181818181818,604.9772727272727
126,247.8202247191011,603.8876404494382
127,247.47191011235955,602.6629213483146
128,246.8876404494382,600.685393258427
129,246.40449438202248,599.3820224719101
130,246.34444444444446,598.4222222222222
131,245.8095238095238,595.9642857142857
132,245.7439024390244,594.1219512195122
133,245.87209302325581,592.6046511627907
134,245.88372093023256,591.3023255813954
135,245.84883720930233,589.1976744186046
136,245.22471910112358,587.8314606741573
137,244.27272727272728,585.0340909090909
138,244.01176470588234,583.2941176470588
139,243.64367816091954,582.3563218390805
140,242.92857142857142,579.6547619047619
141,242.7710843373494,578.2409638554217
142,242.07142857142856,576.6428571428571
143,241.46067415730337,573.9325842696629
144,241.16470588235293,571.7411764705882
145,241.22988505747125,568.7701149425287
146,241.34831460674155,565.9775280898876
147,241.11111111111111,564.6111111111111
148,240.38636363636365,561.0681818181819
149,240.7816091954023,558.5402298850574
150,240.73563218390805,556.551724137931
151,240.74418604651163,553.2906976744187
152,240.816091954023,551.7586206896551
153,240.0,549.0454545454545
154,240.13186813186815,545.945054945055
155,240.25274725274727,544.6373626373627
156,240.5909090909091,541.9431818181819
157,240.85393258426964,539.2584269662921
158,241.0,537.4666666666667
