"0_x","0_y"
0,134.9046223,
1,137.6495963,
2,133.5026164,
3,132.4272931,
4,132.2811509,
5,131.9921072,
6,130.8803078,
7,131.0995883,
8,128.5223098,
9,128.5721465,
10,130.1197455,
11,129.6791073,
12,128.1739705,
13,125.379206,
14,125.8286723,
15,126.3691291,
16,128.1551128,
17,130.1688589,
18,130.5491679,
19,131.5444336,
20,132.6062008,
21,132.6046936,
22,131.145675,
23,133.569034,
24,132.7651406,
25,133.4052213,
26,132.8402054,
27,131.7754092,
28,132.9388702,
29,132.938278,
30,132.7528607,
31,134.0492443,
32,133.354763,
33,140.6523074,
34,136.9626559,
35,137.8842011,
36,137.1380684,
37,141.2421483,
38,141.0955748,
39,140.47559,
40,140.160898,
41,139.0572767,
42,137.2818452,
43,136.1818093,
44,135.7693942,
45,134.9128982,
46,132.2985886,
47,134.3233766,
48,127.6758552,
49,129.0113476,
50,125.2026754,
51,118.8234531,
52,114.8704497,
53,112.1859594,
54,107.5869221,
55,105.9221833,
56,101.991293,
57,100.5789027,
58,95.80182545,
59,92.96280613,
60,89.65546984,
61,86.14875176,
62,80.22810727,
63,81.91040667,
64,72.48401365,
65,69.08448583,
66,67.00355891,
67,64.76892244,
68,56.39535687,
69,54.91947407,
70,48.09180281,
71,49.27632817,
72,49.27632817,
73,35.54039216,
74,37.73471804,
75,32.92068158,
76,30.45102829,
77,29.62223669,
78,31.87477338,
79,34.831163,
80,33.12987408,
81,36.91559138,
82,40.48086224,
83,43.02924286,
84,46.12693491,
85,52.68167193,
86,56.79814505,
87,57.25446511,
88,62.50331031,
89,70.32273677,
90,70.88520539,
91,80.95107091,
92,85.42218993,
93,89.43956716,
94,89.23760861,
95,101.3256528,
96,101.0118023,
97,105.8845997,
98,114.9669847,
99,118.6298395,
100,121.5975566,
101,124.9239076,
102,126.3663178,
103,128.0937961,
104,137.2608757,
105,142.0957607,
106,144.4051487,
107,148.6229622,
108,150.5884291,
109,155.7651745,
110,158.1049372,
111,161.041577,
112,168.5122942,
113,171.0752687,
114,173.9581627,
115,177.8172691,
116,176.3557297,
117,180.2932385,
118,183.5691341,
119,185.2942551,
120,185.0383765,
121,192.332107,
122,193.9888059,
123,192.9556751,
124,196.070812,
125,201.2578138,
126,201.9270723,
127,202.4929046,
128,206.0092843,
129,206.5870089,
130,205.9698629,
131,211.4723087,
132,211.4975864,
133,211.8195605,
134,216.953861,
135,218.4968726,
136,216.5736789,
137,218.9108608,
138,219.8819404,
139,219.0992822,
140,217.9678346,
141,219.3868358,
142,219.8753765,
143,218.6135982,
144,218.4929099,
145,218.3554926,
146,214.6080905,
147,213.6217982,
148,211.8485964,
149,209.7688026,
150,208.970269,
151,208.9422186,
152,207.3166089,
153,206.6297164,
154,206.5727413,
155,204.7760579,
156,201.2168759,
157,200.842347,
158,198.4162077,
159,195.0022313,
160,193.274186,
161,191.9148545,
162,189.3573062,
163,187.145101,
164,187.3442602,
165,185.0654118,
166,180.9085674,
167,183.0826216,
168,180.8227442,
169,175.6159596,
170,173.4626868,
171,171.7374201,
172,167.4608017,
173,164.862391,
174,162.7050883,
175,159.3969254,
176,155.5919599,
177,154.3098044,
178,147.2221031,
179,144.1090513,
180,140.3433161,
181,137.4048391,
182,134.3599036,
183,132.3912577,
184,128.9808961,
185,123.7571758,
186,119.5582533,
187,116.4742303,
188,106.2263965,
189,100.9065808,
190,97.08890592,
191,98.77573998,
192,87.06585061,
193,89.86240662,
194,87.23232964,
195,81.13074497,
196,76.49307974,
197,78.08612232,
198,71.90645657,
199,68.35059446,
200,66.62720881,
201,64.52884123,
202,62.01044186,
203,64.15990699,
204,61.48421368,
205,60.01542804,
206,61.09275231,
207,63.68584124,
208,62.51447377,
209,64.17825494,
210,69.12477998,
211,68.44600461,
212,70.64318369,
213,73.24467594,
214,73.12353038,
215,73.20712214,
216,79.67292453,
217,82.2083656,
218,82.44560557,
219,85.05210404,
220,93.37099298,
221,92.42095134,
222,101.0597728,
223,102.6362401,
224,104.993556,
225,109.1653961,
226,113.214183,
227,119.6006641,
228,123.528368,
229,124.4859867,
230,131.8851335,
231,134.3212068,
232,135.4024837,
233,143.0239873,
234,142.6167573,
235,145.9909662,
236,152.8717376,
237,160.5069707,
238,164.9023583,
239,171.212016,
