"0_x","0_y"
0,23.71434198,
1,28.43730242,
2,33.76186042,
3,34.49674817,
4,39.48701088,
5,43.58306271,
6,47.82156125,
7,54.6805859,
8,57.38027603,
9,62.81714363,
10,68.25847331,
11,71.22976507,
12,78.5587155,
13,82.56590101,
14,87.30686475,
15,93.92592729,
16,96.45533868,
17,101.9798868,
18,107.8870592,
19,112.223956,
20,118.8061137,
21,122.5112613,
22,127.8701657,
23,133.5755964,
24,136.5826744,
25,143.3114523,
26,146.0180827,
27,150.2738978,
28,155.8119664,
29,159.8899104,
30,164.2440196,
31,169.0911011,
32,170.7226543,
33,173.2371022,
34,176.6310509,
35,178.5693254,
36,182.4945102,
37,185.765323,
38,188.0239827,
39,192.1674297,
40,193.7260575,
41,197.0422628,
42,199.9748972,
43,201.9738625,
44,204.9402867,
45,206.9049133,
46,210.8013401,
47,213.4404773,
48,216.4512484,
49,219.4047335,
50,220.8760362,
51,225.7102117,
52,226.8204375,
53,229.6014443,
54,233.19098,
55,234.8663388,
56,238.8442994,
57,243.1337205,
58,244.7105188,
59,247.3393927,
60,251.560282,
61,252.9736207,
62,255.3783874,
63,259.930354,
64,262.8640534,
65,267.139564,
66,272.55541,
67,274.548269,
68,279.409035,
69,284.9031415,
70,287.535867,
71,289.8934003,
72,292.6677491,
73,294.1556172,
74,296.4082013,
75,297.3997003,
76,299.0868509,
77,299.9901221,
78,300.6814028,
79,301.0961321,
80,301.908325,
81,303.0588518,
82,304.9164181,
83,308.2933932,
84,310.9142073,
85,313.6897705,
86,315.9075724,
87,317.5891471,
88,317.8879932,
89,319.4453972,
90,322.1894228,
91,324.0704355,
92,326.2157666,
93,328.0143344,
94,329.0072173,
95,329.7008208,
96,329.4694733,
97,329.4560369,
98,329.9603543,
99,332.128647,
100,334.1719448,
101,334.4754242,
102,336.2374492,
103,337.0160045,
104,339.0998389,
105,339.0116306,
106,340.4678868,
107,342.5844722,
108,344.1272284,
109,344.5603094,
110,346.2510364,
111,347.059429,
112,347.7621697,
113,349.6943845,
114,351.5546745,
115,352.3950178,
116,352.7537651,
117,356.1348719,
118,358.3479613,
119,360.1460998,
120,364.3203661,
121,364.155548,
122,364.2422217,
123,363.7055942,
124,362.7806606,
125,362.6415558,
126,362.9113314,
127,362.7081665,
128,362.6646948,
129,362.2366619,
130,362.7723924,
131,364.1723201,
132,364.4180728,
133,365.1052749,
134,364.5818216,
135,364.2613949,
136,364.7788144,
137,365.4395579,
138,364.8345404,
139,363.5487779,
140,361.955213,
141,359.6306852,
142,358.561615,
143,356.438768,
144,353.8549646,
145,351.4036063,
146,350.3791119,
147,349.0987296,
148,347.8158666,
149,346.2262394,
150,342.9495555,
151,340.7292942,
152,339.9112113,
153,338.9630612,
154,338.9659658,
155,336.442161,
156,335.824521,
157,335.8138391,
158,334.298701,
159,334.8423274,
160,334.4300649,
161,334.8951743,
162,336.4032084,
163,336.8751953,
164,338.4619779,
165,338.6979106,
166,339.4796775,
167,340.6389844,
168,341.2170482,
169,341.5491416,
170,342.0721086,
171,341.6798171,
172,342.762079,
173,343.344681,
174,342.6836939,
175,341.8145283,
176,339.9741135,
177,338.0339825,
178,337.2447194,
179,336.4332836,
180,334.9360273,
181,334.5537927,
182,331.5090291,
183,327.3547335,
184,325.206344,
185,322.0336783,
186,319.792615,
187,316.9122583,
188,311.5475153,
189,309.0777718,
190,304.9104335,
191,302.7488021,
192,300.4330741,
193,293.9093047,
194,292.0334939,
195,287.5048593,
196,284.7458138,
197,281.8234307,
198,278.0654857,
199,275.826935,
200,274.2093526,
201,273.1978162,
202,272.182918,
203,268.305197,
204,266.1247092,
205,264.7242373,
206,260.9989674,
207,258.9543362,
208,256.196069,
209,251.5022822,
210,248.1872237,
211,244.7808023,
212,239.9080867,
213,236.7572271,
214,231.4427636,
215,228.6436086,
216,222.7287434,
217,216.9015116,
218,214.4084561,
219,209.397305,
220,204.8915534,
221,200.4363116,
222,192.4715202,
223,189.4075406,
224,184.8718716,
225,180.4937911,
226,177.2781563,
227,171.0584764,
228,168.9389977,
229,165.6355178,
230,163.8886038,
231,163.3814217,
232,162.4101537,
233,161.9792526,
234,161.2764605,
235,158.6037579,
236,158.0638958,
237,156.8086977,
238,155.2145813,
239,154.4057521,
240,153.182806,
241,154.2852067,
242,156.2688179,
243,159.1248571,
244,160.136052,
245,162.0089996,
246,163.142988,
247,165.0032626,
248,169.8877616,
249,172.463293,
250,175.6548812,
251,178.4448699,
252,182.176346,
253,187.8516735,
254,191.3553592,
255,194.8791491,
256,199.0358769,
257,202.4693824,
258,209.1091305,
259,211.9736404,
260,214.585391,
261,219.527334,
262,223.1442576,
263,230.546984,
264,234.5908737,
265,238.062416,
266,242.7162825,
267,245.8071281,
268,253.2171273,
269,253.2124402,
270,255.0843955,
271,257.5028918,
272,258.9061349,
273,259.6046735,
274,260.1572714,
275,262.30416,
276,264.6626834,
277,265.22761,
278,266.0594803,
279,267.5904742,
280,267.9405361,
281,269.8536387,
282,271.9193536,
283,273.6056905,
284,275.2694411,
285,277.05186,
286,277.8288934,
287,280.8097696,
288,282.9599304,
289,284.6624298,
290,286.7239061,
291,288.6244187,
292,289.4375229,
293,291.6806961,
294,294.0470971,
295,295.7986108,
296,296.6254087,
297,297.3334019,
298,299.2476401,
299,301.0542671,
300,304.2713289,
301,308.3124995,
302,311.2778224,
303,315.3729463,
304,320.3373403,
305,324.1139016,
306,329.5455977,
307,333.2325361,
308,338.1002375,
309,343.5024912,
310,345.5541077,
311,351.0913306,
312,354.340387,
313,355.5757776,
314,356.2533483,
315,357.9189287,
316,360.354248,
317,361.559076,
318,362.3653872,
319,362.5801306,
320,362.6613128,
321,361.9368618,
322,360.3896081,
323,358.2193133,
324,356.9784535,
325,353.5304075,
326,350.0378281,
327,347.9779503,
328,346.290959,
329,344.448552,
330,342.4460112,
331,340.1061472,
332,340.9263716,
333,340.7491604,
334,339.8476689,
335,340.5123954,
336,339.9002643,
337,340.3335679,
338,341.4519867,
339,342.4899427,
340,342.5646208,
341,342.2809997,
342,342.3511014,
343,343.4999987,
344,344.3829137,
345,343.9171275,
346,342.7885933,
347,341.5750968,
348,341.5494107,
349,340.9174667,
350,340.6873142,
351,339.0930628,
352,336.2441937,
353,337.039433,
354,336.940534,
355,337.1707848,
356,336.7910115,
357,335.8197616,
358,337.2764969,
359,337.1480563,
360,337.8375415,
361,338.0446836,
362,337.7971864,
363,339.0298051,
364,340.5593299,
365,342.5636096,
366,344.0955042,
367,344.5643787,
368,346.5974623,
369,348.423111,
370,349.1245962,
371,350.2120294,
372,351.4286472,
373,352.7445293,
374,354.5685952,
375,355.4371807,
376,356.9317959,
377,356.663324,
378,357.3365072,
379,358.7534668,
380,357.6179629,
381,356.371501,
382,353.9429354,
383,352.1377116,
384,350.473173,
385,349.3921107,
386,348.6473885,
387,345.3387475,
388,342.0806134,
389,339.9977346,
390,338.1975996,
391,337.7514811,
392,334.8458462,
393,334.0664872,
394,334.2899418,
395,333.0611934,
396,333.2686308,
397,331.9626794,
398,331.4589124,
399,332.0785333,
400,332.2624065,
401,332.4139835,
402,332.2597321,
403,330.8271332,
404,330.6642181,
405,329.9053422,
406,328.6231784,
407,327.4555136,
408,323.7180389,
409,322.1884357,
410,321.2247489,
411,319.6648967,
412,318.1751121,
413,313.963182,
414,311.6943682,
415,309.3505844,
416,307.2464168,
417,306.1132829,
418,303.8133692,
419,301.9185389,
420,300.4618011,
421,298.1840932,
422,297.4350456,
423,294.1207885,
424,293.2340555,
425,292.5586339,
426,290.5635168,
427,289.7807563,
428,288.0912205,
429,286.7540473,
430,285.8239159,
431,284.5050548,
432,284.6415819,
433,284.190333,
434,283.0594598,
435,281.6982555,
436,280.4859355,
437,279.2807906,
438,276.8264263,
439,275.2871574,
440,273.7829337,
441,272.5472759,
442,270.2718285,
443,266.268617,
444,263.6206201,
445,260.2967809,
446,256.822503,
447,254.5666185,
448,250.6371438,
449,246.9704139,
450,242.5845992,
451,239.0445833,
452,236.5665694,
453,230.6918982,
454,226.9564724,
455,224.9361522,
456,219.9163246,
457,217.5429771,
458,214.8283437,
459,208.6184165,
460,205.6430586,
461,202.0834867,
462,197.4471768,
463,195.3430868,
464,190.0944813,
465,184.2513583,
466,181.2706272,
467,176.7506204,
468,173.7668726,
469,171.9487128,
470,167.4960627,
471,165.6052168,
472,163.1253181,
473,156.6914722,
474,154.2041419,
475,150.9990742,
476,148.6442259,
477,147.2297197,
478,142.2381693,
479,140.7073949,
480,137.7516307,
481,135.1195826,
482,134.6012719,
483,133.0885453,
484,128.9246743,
485,128.0344269,
486,125.4442258,
487,122.6625656,
488,120.4817317,
489,116.498442,
490,115.160785,
491,113.2521883,
492,111.410285,
493,111.1577057,
494,110.1450332,
495,109.1233609,
496,109.4890588,
497,111.8769671,
498,114.2255706,
499,115.8434695,
500,118.2047973,
501,120.237457,
502,123.9485725,
503,129.2405116,
504,130.3474969,
505,132.8123436,
506,136.0379187,
507,139.2994375,
508,144.910093,
509,147.7613794,
510,152.184493,
511,156.8844271,
512,160.3669297,
513,166.0644447,
514,171.457512,
515,173.6211408,
516,179.4972457,
517,182.6732256,
518,190.378809,
519,195.758798,
520,199.8357329,
521,205.5441282,
522,208.1569678,
523,213.5422037,
524,217.406743,
525,221.9126032,
526,228.7653982,
527,232.2579101,
528,238.3882805,
529,243.4834114,
530,246.0323368,
531,252.0904212,
532,256.3305538,
533,261.3751335,
534,268.7152118,
535,271.2073634,
536,277.942253,
537,281.4270732,
538,286.031984,
539,291.8616019,
540,294.2640031,
541,299.4468173,
542,304.3665572,
543,307.1513428,
544,311.7929839,
545,315.6359451,
546,316.8088356,
547,320.5926085,
548,324.6884101,
549,326.5853396,
550,328.3231746,
551,331.0342195,
552,332.293007,
553,334.9108347,
554,338.168946,
555,339.3117316,
556,339.9077264,
557,341.5759939,
558,342.9442644,
559,343.5899335,
560,345.3403133,
561,346.6405772,
562,348.9228532,
563,350.1201306,
564,350.8752694,
565,350.5478059,
566,350.1470865,
567,348.2147596,
568,346.6262154,
569,344.5933329,
570,342.1184854,
571,341.322762,
572,340.6266325,
573,339.9361699,
574,336.407975,
575,336.1914883,
576,337.9642052,
577,337.4282553,
578,338.6762097,
579,341.6281126,
580,342.9266495,
581,345.4074647,
582,348.7276938,
583,351.4726676,
584,355.368536,
585,358.4948849,
586,360.6409425,
587,365.5741841,
588,367.4140721,
589,370.1014969,
590,372.6345269,
591,371.8180269,
592,371.6160906,
593,370.8953702,
594,370.7211169,
595,369.7068543,
596,369.5419791,
597,369.8743374,
598,370.3963322,
599,369.6075187,
600,369.5898949,
601,367.9647627,
602,366.6611701,
603,365.8781401,
604,364.6624471,
605,363.3557871,
606,361.8942581,
607,358.9392507,
608,357.7285042,
609,357.885883,
610,357.7706106,
611,357.843474,
612,356.4239337,
613,355.7892588,
614,356.01258,
615,355.8009609,
616,356.6520001,
617,356.7132272,
618,357.6470613,
619,358.7976422,
620,359.6746982,
621,359.992943,
622,360.901997,
623,361.4710597,
624,361.7286804,
625,361.871058,
626,363.142001,
627,364.4368333,
628,365.9980264,
629,367.3157917,
630,367.7877307,
631,368.6432348,
632,370.244071,
633,371.4025775,
634,372.1554248,
635,371.9486069,
636,371.0579394,
637,367.3048692,
638,364.3400055,
639,362.9945478,
640,361.8437256,
641,359.9629144,
642,357.965555,
643,355.9932607,
644,353.6773141,
645,351.743851,
646,349.9323782,
647,344.5827765,
648,340.7983826,
649,337.6328231,
650,331.6726755,
651,329.852527,
652,325.3092617,
653,322.1095798,
654,319.7944452,
655,313.8579462,
656,311.415811,
657,306.8164967,
658,302.5222157,
659,300.257494,
660,293.2362662,
661,289.9157723,
662,286.8209783,
663,283.3382671,
664,281.4925948,
665,278.1280056,
666,274.1003564,
667,271.6368025,
668,267.7536147,
669,266.1977375,
670,261.7682037,
671,258.3173022,
672,255.2928056,
673,250.7734887,
674,248.8808702,
675,246.1377464,
676,243.5832829,
677,242.956268,
678,239.54181,
679,235.3344422,
680,234.3251019,
681,230.1496371,
682,225.4766099,
683,223.617105,
684,220.2753242,
685,217.6038357,
686,215.5439482,
687,210.8256547,
688,207.7196959,
689,205.4290566,
690,202.0325825,
691,199.6727974,
692,195.5629907,
693,190.2839936,
694,188.7589363,
695,184.2759892,
696,183.4414507,
697,179.6770108,
698,177.2404604,
699,175.7721328,
700,172.630704,
701,171.2720511,
702,167.9868509,
703,162.9617395,
704,161.5922867,
705,158.6410217,
706,156.1848288,
707,152.4507215,
708,148.369564,
709,146.9750238,
710,145.1389511,
711,141.3519016,
712,137.7969124,
713,134.4120538,
714,128.3930754,
715,125.4286003,
716,122.4293155,
717,117.594823,
718,114.3791734,
719,109.2328631,
720,104.6610833,
721,101.5042372,
722,95.93214483,
723,93.76570707,
724,88.72874918,
725,83.94306682,
726,80.8529482,
727,77.21332992,
728,76.82008429,
729,75.86712304,
730,73.27154514,
731,72.35549223,
732,71.84650062,
733,69.767885,
734,69.39473838,
735,70.01235215,
736,71.57454855,
737,74.23339663,
738,74.91690121,
739,76.49341747,
740,80.78915903,
741,83.84980219,
742,87.48403659,
743,90.70511651,
744,93.5750582,
745,99.73191485,
746,102.7783801,
747,106.1772491,
748,111.0465685,
749,114.6404261,
750,119.4727797,
751,122.4021888,
752,125.4343887,
753,130.9016006,
754,133.3897263,
755,140.2930004,
756,145.0531627,
757,149.3921101,
758,154.3914827,
759,157.686965,
760,164.4226273,
761,167.2732088,
762,171.1532198,
763,177.2591974,
764,181.013308,
765,189.3914218,
766,192.3595814,
767,196.8279719,
768,202.9894867,
769,206.3667211,
770,214.8373458,
771,218.6883322,
772,224.3470621,
773,229.8703952,
774,232.6640362,
775,239.7332255,
776,245.2542073,
777,248.8941687,
778,255.1203227,
779,259.1655659,
780,264.146012,
781,270.7431973,
782,274.019858,
783,280.3206555,
784,283.6265758,
785,288.7468796,
786,295.701384,
787,297.5680348,
788,302.3286187,
789,307.8828546,
790,311.5636022,
791,318.1679457,
792,321.7415428,
793,325.5740245,
794,329.5311411,
795,331.5778961,
796,336.2963571,
797,340.3154737,
798,342.1283645,
799,345.6688519,
800,350.1477983,
801,352.7849985,
802,357.5088433,
803,361.0697282,
804,361.3778096,
805,361.1438841,
806,361.5206425,
807,361.468138,
808,361.9799038,
809,362.4107735,
810,362.6651177,
811,362.8859188,
812,362.893879,
813,362.3779164,
814,362.6180637,
815,362.1104656,
816,361.3962996,
817,358.9638426,
818,357.9537973,
819,358.3404441,
820,359.7205042,
821,360.6782821,
822,362.5240445,
823,363.301742,
824,363.6956816,
825,366.452472,
826,368.274528,
827,368.8526716,
828,368.7571987,
829,367.9558774,
830,367.5481583,
831,367.8142273,
832,368.063891,
833,367.3391265,
834,365.7587435,
835,365.5136712,
836,366.1227844,
837,366.6021693,
838,368.005874,
839,367.3574074,
840,368.3000924,
841,370.242614,
842,370.7711174,
843,372.8915828,
844,373.616754,
845,374.4193988,
846,378.1438931,
847,378.8797242,
848,379.8049213,
849,380.2125222,
850,378.5485963,
851,377.4015551,
852,376.7979252,
853,374.7682902,
854,372.2384381,
855,371.2357512,
856,369.4459213,
857,367.4515062,
858,366.4196521,
859,364.8472893,
860,362.1812177,
861,361.6963844,
862,360.1165115,
863,359.1194242,
864,358.9836265,
865,356.7116473,
866,356.4513173,
867,358.133364,
868,357.734928,
869,359.1201854,
870,359.5417452,
871,359.5281622,
872,359.3159886,
873,360.048391,
874,360.3227387,
875,360.6012074,
876,360.5271397,
877,359.8855429,
878,359.4545331,
879,359.640414,
880,359.334646,
881,359.5315266,
882,358.7125306,
883,358.5237051,
884,359.3063731,
885,360.406481,
886,361.3059852,
887,362.6281974,
888,363.9124255,
889,364.9267709,
890,367.9779538,
891,370.7392539,
892,373.1095237,
893,375.353997,
894,377.6744711,
895,379.3848713,
896,380.0103316,
897,380.1193452,
898,379.989655,
899,380.3050205,
900,379.885208,
901,379.9460158,
902,379.1820891,
903,377.9598154,
904,375.7950826,
905,373.6226159,
906,371.7752807,
907,371.4597468,
908,370.1610797,
909,367.6218291,
910,366.6266983,
911,364.8998207,
912,363.8535023,
913,362.4679837,
914,358.5520487,
915,356.7335296,
916,354.4674985,
917,351.6923586,
918,349.8315017,
919,345.7869624,
920,343.3591173,
921,341.0182054,
922,338.0367876,
923,338.1353512,
924,335.8522315,
925,333.6578289,
926,332.1266858,
927,328.7657561,
928,327.8087848,
929,325.4497071,
930,322.4386298,
931,320.8310154,
932,318.5434446,
933,316.8354861,
934,312.7872131,
935,308.0925209,
936,306.1803539,
937,303.1607765,
938,299.899518,
939,297.6848552,
940,292.2674901,
941,287.8220254,
942,284.4213088,
943,279.2167364,
944,278.0341773,
945,275.2749032,
946,270.5118322,
947,267.593724,
948,263.4398429,
949,259.3849784,
950,257.9379622,
951,255.3087808,
952,249.9120895,
953,247.444634,
954,243.0070897,
955,241.2864739,
956,238.2312971,
957,234.6265833,
