position,x0,y0
0,827.0847750865053,704.4100346020762
1,824.5741379310344,708.1189655172413
2,823.2833052276559,711.7352445193928
3,820.7228070175439,719.3333333333334
4,815.7252396166134,725.6709265175718
5,813.953074433657,726.8284789644014
6,810.6644628099174,729.5206611570247
7,807.6329966329967,733.0656565656566
8,805.4496644295302,737.3959731543624
9,800.6608,745.6576
10,798.5215946843854,747.3372093023256
11,792.7315541601256,751.2464678178965
12,787.5520134228187,752.9664429530201
13,784.510333863275,755.2384737678856
14,780.1421875000001,761.1421875000001
15,775.75,765.1410256410256
16,770.763358778626,768.0625954198473
17,766.7621440536013,768.5393634840871
18,759.1378787878788,773.3757575757576
19,759.8822553897181,774.077943615257
20,753.0314465408806,780.0487421383648
21,747.4361233480175,783.3303964757708
22,740.3867791842475,787.1012658227849
23,736.5322338830584,788.5532233883058
24,734.5898203592815,790.9401197604791
25,728.5028571428571,797.8414285714285
26,724.8005738880919,801.1707317073171
27,723.1415094339623,802.3820754716982
28,716.8478964401295,805.6779935275081
29,714.4754358161648,807.7242472266245
30,712.0398089171974,811.3869426751593
31,706.4549763033175,817.8151658767772
32,702.9252782193959,819.724960254372
33,695.2526964560863,824.0354391371341
34,689.3468468468468,827.2777777777777
35,686.2127351664254,830.3762662807525
36,678.9586776859504,837.0895316804408
37,676.8213296398892,838.5470914127424
38,672.8978102189781,839.8175182481751
39,668.1573926868045,840.7297297297298
40,662.2807525325615,843.547033285094
41,655.3609314359638,849.2496765847349
42,649.6201342281879,852.7395973154362
43,645.4691516709511,854.650385604113
44,641.88671875,856.7955729166666
45,637.0460772104608,860.9165628891657
46,635.5786163522013,862.02893081761
47,631.2833545108006,864.7776365946634
48,626.8387909319899,867.6586901763224
49,619.8514492753623,872.2234299516908
50,616.6089588377724,873.2917675544794
51,610.4504181600955,875.8231780167264
52,608.1812652068127,875.8284671532847
53,605.2511737089202,877.9753521126761
54,598.5402567094516,883.3442240373395
55,593.242774566474,886.3052023121388
56,588.4886769964243,888.8927294398093
57,581.3064516129032,891.905529953917
58,578.7414806110459,893.3278495887191
59,572.9897959183673,897.5113378684807
60,568.2564102564103,900.6864801864801
61,563.2406542056075,902.1787383177569
62,556.9563164108619,903.7532467532467
63,553.2578034682082,904.9965317919076
64,547.0895027624309,908.4320441988951
65,540.670317634173,911.1686746987951
66,536.7061403508771,913.2730263157895
67,529.186895810956,914.6305048335123
68,523.4309278350515,915.9752577319588
69,521.9699481865284,915.462176165803
70,520.8936392075078,915.6882168925965
71,518.0783898305085,915.9152542372881
72,513.703354297694,917.2410901467506
73,509.04066736183523,916.0521376433785
74,501.96347482724576,912.5656465942744
75,500.0832507433102,912.2200198216055
76,495.7489754098361,912.1147540983607
77,490.4149377593361,912.5
78,486.58704883227176,912.4055201698513
79,479.983908045977,910.732183908046
80,473.25660792951544,908.9052863436124
81,469.95022123893807,908.5387168141593
82,464.3550884955752,908.4933628318583
83,460.1303867403315,907.5591160220995
84,455.2873051224944,906.0412026726058
85,449.1859723698193,903.0361317747077
86,444.4185110663984,901.241448692153
87,440.1732620320856,902.0149732620321
88,432.6235167206041,900.9374325782092
89,427.70916754478395,899.5500526870389
90,422.15442764578836,896.8077753779698
91,415.404990403071,893.0076775431861
92,411.9780439121756,893.8453093812375
93,406.88966900702104,893.9327983951856
94,401.119,893.325
95,395.90198123044837,892.2408759124088
96,389.6928571428572,889.2061224489797
97,386.1903827281648,887.2953876349361
98,380.39396887159535,886.7538910505837
99,373.7821782178218,885.2188118811881
100,370.4198396793587,884.2294589178356
101,365.78341968911917,881.3056994818652
102,360.61049445005045,878.5237134207871
103,356.55151515151516,877.0444444444445
104,349.1970802919708,875.4827945776851
105,343.9335378323109,873.5429447852762
106,339.77562028047464,871.8425026968715
107,333.6891025641026,867.9188034188035
108,330.92494929006085,866.0750507099391
109,327.5140845070423,863.8521126760564
110,324.12326043737573,861.0785288270376
111,321.03128054740955,859.3655913978495
112,318.1135135135135,855.2518918918919
113,313.9664138678223,848.0660888407367
114,311.452972972973,845.6118918918919
115,307.28131634819533,843.316348195329
116,303.19027484143766,840.1152219873151
117,300.5088082901554,838.0922279792745
118,296.531914893617,834.5699888017917
119,291.60452586206895,829.7381465517241
120,287.9716088328076,827.4227129337539
121,283.4021978021978,825.5538461538462
122,279.7827476038339,822.4281150159745
123,277.00435255712733,820.1947769314472
124,271.76132596685085,815.4662983425414
125,267.843137254902,811.5729847494554
126,264.7475935828877,809.1914438502674
127,257.86028602860284,806.3993399339934
128,253.8892580287929,804.6445182724252
129,250.56867196367764,801.616345062429
130,248.11300121506682,796.6379100850546
131,246.80818713450293,793.5204678362574
132,241.8058361391695,789.9169472502806
133,235.85037674919266,784.2034445640473
134,233.69772481040084,782.4756229685806
135,231.01387283236997,778.4289017341041
136,226.65625,771.1194196428571
137,225.93226176808267,769.5499425947187
138,220.8413948256468,763.4971878515187
139,216.83710895361378,758.9439050701186
140,214.9002169197397,756.202819956616
141,212.74367816091953,750.2149425287356
142,210.47560975609755,743.6541019955654
143,209.39905548996458,741.599763872491
144,205.61478163493842,734.9955207166853
145,203.82622950819672,731.2852459016393
146,201.98653198653201,726.1717171717172
147,200.34610917537748,720.4343786295005
148,199.96534653465346,719.0482673267327
149,195.12939698492463,714.5113065326633
150,192.41666666666666,710.5396825396825
151,190.00261780104714,706.3520942408377
152,187.7671601615074,699.7617765814266
153,186.63599458728012,695.5263870094723
154,183.90758620689653,692.9255172413792
155,180.55070422535212,688.8253521126761
156,176.66171003717471,683.003717472119
157,176.08344923504868,680.751043115438
158,173.56545961002786,671.2938718662953
159,170.9499417927823,662.7566938300349
160,170.14605263157895,663.1434210526315
161,165.0369003690037,654.8659286592866
162,163.64783180026282,653.4586070959265
163,163.4180790960452,648.7612994350283
164,163.31593794076164,643.9069111424542
165,162.3418079096045,640.3079096045198
166,159.89711934156378,635.514403292181
167,157.45264623955433,628.2855153203343
168,156.88659793814432,627.0780559646539
169,156.9478390461997,619.5096870342772
170,158.7369985141159,613.8484398216939
171,158.05465288035452,610.3545051698671
172,155.97527472527474,602.5535714285714
173,155.7632711621234,598.906743185079
174,155.80059523809524,594.6175595238095
175,156.78507462686568,587.710447761194
176,156.91071428571428,583.125
177,155.0359281437126,577.9071856287426
178,154.14117647058822,571.3338235294118
179,153.47826086956522,568.1811594202899
180,153.44176136363637,560.4545454545455
181,154.03905160390516,554.7322175732218
182,154.16196136701336,552.927191679049
183,151.12059620596207,543.3943089430894
184,150.04461942257217,537.2270341207349
185,150.10094212651413,532.5679676985195
186,151.87675070028013,526.6456582633053
187,151.8776371308017,523.0407876230661
188,149.90909090909093,514.2967171717172
