position,x0,y0
0,492.79519006982156,109.27695888285493
1,497.7523219814242,108.38854489164088
2,505.2897196261682,107.80607476635514
3,509.79969992498127,106.72018004501126
4,516.0916795069338,104.1964560862866
5,523.4658753709199,102.82492581602374
6,526.1784897025171,100.6376811594203
7,529.6991492652746,100.01005413766435
8,536.3198473282442,100.3587786259542
9,541.4019388516033,100.8806860551827
10,546.367716535433,99.90708661417322
11,554.2469604863222,99.20440729483282
12,558.5301391035548,98.1870170015456
13,563.7254746835443,98.30458860759494
14,571.0144157814872,100.41881638846738
15,573.7970679012345,99.80401234567901
16,580.2597402597403,100.5485103132162
17,588.723293768546,99.26780415430268
18,592.2096168294515,99.07212622088656
19,596.9045383411581,99.23317683881065
20,604.4471858134156,100.31534309946029
21,608.4094311377246,101.20808383233533
22,613.1515151515151,102.35833333333333
23,621.2342271293376,100.71687697160883
24,626.4316654219567,101.23226288274833
25,628.3863099921322,100.41384736428009
26,635.8320373250389,101.950233281493
27,640.3051750380517,103.45966514459664
28,645.3192307692308,104.51230769230769
29,655.2308834446919,104.79955456570156
30,658.6806402439024,103.71036585365854
31,660.7432859399684,104.26935229067931
32,668.5666666666667,106.42936507936508
33,673.9362670713202,108.05614567526555
34,678.3241800152556,109.7536231884058
35,685.6550657385925,111.3062645011601
36,692.3414820473644,111.72039724980901
37,695.1400472069237,113.23210070810386
38,700.4788507581804,116.85235434956105
39,704.2021943573667,119.4333855799373
40,708.3277777777778,121.92539682539683
41,716.9859703819174,124.84333593141076
42,723.5903522205207,126.6707503828484
43,725.7378640776699,127.85032362459548
44,730.6811594202899,131.82608695652175
45,735.116862745098,134.3678431372549
46,738.452086553323,135.98918083462132
47,745.9755102040816,137.28163265306122
48,752.7840909090909,142.11515151515152
49,754.964200477327,141.9920445505171
50,759.579073482428,144.9073482428115
51,763.2549019607843,149.241568627451
52,766.4304381245196,151.0891621829362
53,774.1377295492488,152.80300500834724
54,780.4380292532717,157.83987682832947
55,781.8817034700315,158.23028391167193
56,786.6784850926672,162.19983883964545
57,791.2742681047766,166.56086286594763
58,793.8228043143298,168.40061633281974
59,799.3642023346304,171.95408560311284
60,805.8761538461539,175.91615384615383
61,809.139968895801,177.54821150855366
62,813.1545307443366,180.59142394822007
63,817.7371294851795,186.10452418096725
64,820.8007751937985,189.47596899224806
65,826.687651331719,192.9967715899919
66,832.7262914417887,198.745566692367
67,836.117924528302,200.4174528301887
68,838.8879935535858,203.64786462530216
69,843.0735895339329,207.12019623875716
70,846.2432012432013,211.92851592851594
71,850.4476418864908,215.33653077537969
72,856.2756508422665,222.29402756508424
73,859.562015503876,224.184496124031
74,862.4403522818254,227.87670136108886
75,865.7961783439491,233.24363057324842
76,868.4569169960474,236.82134387351778
77,873.7896857373086,241.68896051571312
78,879.3646071700992,248.8985507246377
79,881.992337164751,252.6344827586207
80,885.3208000000001,255.47840000000002
81,888.4409020217729,261.7698289269051
82,890.1305998481398,266.73424449506456
83,894.4840961986035,270.19860356865786
84,900.5784685367703,276.2873388931008
85,902.5204317656129,278.82343870470316
86,905.4826472962066,282.1089588377724
87,907.4387047031611,289.0138781804163
88,909.6824167312162,293.3392718822618
89,913.0695312500001,298.32734375
90,917.2784711388456,305.69032761310456
91,920.10741301059,309.0196671709531
92,921.1236947791165,312.1983935742972
93,923.0369477911647,317.73895582329317
94,924.2228218966846,323.4479568234387
95,926.4182242990654,327.3956386292835
96,930.2053501180173,333.6341463414634
97,933.3507972665149,340.7593014426728
98,934.1677265500796,342.48251192368843
99,935.0332805071316,348.49128367670363
100,936.4601084430675,354.79240898528275
101,937.9764616552771,357.87015945330296
102,941.4275700934579,364.72429906542055
103,944.3948562783661,371.84039334341907
104,945.4733124018838,372.9018838304553
105,946.572457966373,379.226581265012
106,947.1119691119691,383.77451737451736
107,946.9767092411721,388.480841472577
108,950.2543581616483,394.8755942947702
109,951.9302848575712,403.1116941529235
110,952.7336412625095,405.40184757505773
111,952.6890625000001,410.596875
112,953.9875968992247,416.41317829457364
113,954.6386999244143,421.3711262282691
114,956.9020979020979,427.7000777000777
115,959.9231354642313,436.14459665144597
116,961.4760432766615,438.9922720247295
117,962.8721864951768,443.0458199356913
118,960.4247517188694,450.2375859434683
119,960.6050228310502,454.49619482496195
120,962.2404669260701,461.6591439688716
121,962.0149588631264,470.28795811518324
122,962.7340093603744,472.36583463338536
123,961.7906614785993,479.11984435797666
124,961.6565809379728,484.1800302571861
125,961.1226626776365,486.679880329095
126,961.7123928293063,493.05455962587683
127,962.4887724550899,502.31437125748505
128,962.9239720713731,504.7315748642358
129,961.89140625,511.60312500000003
130,961.0083207261725,516.7057488653555
131,960.0294339622641,520.8158490566037
132,960.3857474825717,525.6924864446166
133,959.4680534918276,533.9331352154531
134,958.3001497005988,538.9094311377246
135,958.8757911392405,542.8132911392405
136,956.2826747720364,549.7530395136778
137,955.0476911430734,553.7388342165026
138,954.3838685586259,558.1784914115011
139,953.8899848254932,565.9673748103187
140,953.4157894736843,572.6556390977444
141,952.946511627907,576.0961240310078
142,950.0809379727685,580.4311649016641
143,948.1156412157153,586.5848776871757
144,947.249434815373,588.8085908063301
145,946.6284403669725,594.9197247706422
146,944.6472781506338,602.2304250559283
147,944.6115326251897,604.6176024279212
148,942.5931410756041,608.3499610288387
149,939.8544061302682,612.3310344827587
150,937.082966226138,617.1086637298091
151,936.1482035928144,620.9229041916168
152,934.5337331334332,627.0989505247376
153,932.5495562130177,633.8365384615385
154,933.0683624801272,637.4801271860096
155,928.6012317167051,642.8806774441878
156,927.2071591774562,646.0959634424981
157,925.0503048780488,647.5182926829268
158,923.3698315467076,655.2817764165391
159,919.9715536105033,663.0736688548504
160,919.6747536012131,666.393479909022
161,916.8520526723471,670.172734314485
162,913.039911308204,674.7841832963784
163,910.8643067846607,677.0014749262536
164,908.4253222137983,681.2221379833206
165,904.4974471188914,689.2472647702407
166,902.0065502183406,694.9148471615721
167,900.1109433962264,698.4399999999999
168,896.453724604966,703.1482317531978
169,891.6807888970052,707.4258582907231
170,889.7130111524164,711.6899628252788
171,886.0225056264067,718.1200300075019
172,880.578947368421,723.436403508772
173,879.7448433919022,725.6967150496562
174,873.1810730253353,730.0104321907601
175,870.1482861400895,733.5715350223547
176,868.3723404255319,735.1177811550152
177,863.2529761904761,741.4613095238095
178,858.5141643059491,746.5375354107649
179,857.2488888888888,749.3103703703704
180,852.4052830188679,753.1449056603773
181,846.6979166666666,757.6153273809523
182,844.7365313653137,758.9778597785978
183,840.4752623688156,765.191904047976
184,835.4457922668688,769.7270659590599
185,832.0487982520029,774.2170429715951
186,829.0144376899696,777.3130699088146
187,823.0700073691968,779.3905674281503
188,818.1953690303907,782.1345875542692
189,814.7149253731343,785.0298507462687
190,808.1783393501804,790.2238267148014
191,803.0641672674838,793.5385724585436
192,800.2784810126583,795.5867460908414
193,794.9579894973743,797.9032258064516
